--- Atoms: 
T('140', '4249') Truth=[0]
T('4150', '1353') Truth=[0]
T('2073', '3242') Truth=[0.59]
T('380', '3554') Truth=[0.59]
T('1028', '841') Truth=[0.59]
T('3975', '3591') Truth=[0.15]
T('3975', '3593') Truth=[0.59]
T('4836', '3881') Truth=[0.59]
T('221', '4175') Truth=[0]
T('1983', '969') Truth=[0]
T('1983', '968') Truth=[0.59]
T('3506', '2542') Truth=[0.59]
T('3506', '2541') Truth=[0.59]
T('4660', '658') Truth=[0]
T('410', '617') Truth=[0]
T('3565', '3135') Truth=[0.59]
T('2706', '2418') Truth=[0.59]
T('3402', '1521') Truth=[0]
T('410', '618') Truth=[0]
T('410', '619') Truth=[0]
T('1851', '2035') Truth=[0.59]
T('3252', '2806') Truth=[0]
T('3198', '3902') Truth=[0.59]
T('111', '4590') Truth=[0.59]
T('1303', '213') Truth=[0]
T('18', '388') Truth=[0.59]
T('2527', '2755') Truth=[0]
T('4088', '3851') Truth=[0]
T('2637', '4988') Truth=[0]
T('1261', '4556') Truth=[0.59]
T('3863', '1327') Truth=[0]
T('4345', '2188') Truth=[0]
T('2800', '2144') Truth=[0.59]
T('3875', '89') Truth=[0]
T('3875', '87') Truth=[0]
T('3875', '86') Truth=[0]
T('484', '4581') Truth=[0.59]
T('1703', '758') Truth=[0]
T('3273', '1297') Truth=[0]
T('3273', '1296') Truth=[0]
T('420', '1389') Truth=[0.59]
T('4039', '4041') Truth=[0]
T('2898', '2755') Truth=[0]
T('1123', '544') Truth=[0]
T('2898', '2753') Truth=[0]
T('2959', '2908') Truth=[0.59]
T('4356', '4668') Truth=[0.59]
T('3875', '74') Truth=[0]
T('3875', '70') Truth=[0]
T('3392', '3388') Truth=[0.59]
T('3392', '3389') Truth=[0.59]
T('603', '3612') Truth=[0.42]
T('695', '2951') Truth=[0.59]
T('4722', '1657') Truth=[0.59]
T('1646', '526') Truth=[0.59]
T('1422', '4412') Truth=[0]
T('3875', '69') Truth=[0]
T('3392', '3386') Truth=[0.59]
T('3392', '3385') Truth=[0.59]
T('385', '3533') Truth=[0]
T('3817', '4164') Truth=[0]
T('3921', '2874') Truth=[0]
T('1558', '2856') Truth=[0]
T('1723', '2642') Truth=[0]
T('1140', '1141') Truth=[0]
T('3817', '1908') Truth=[0]
T('271', '2671') Truth=[0.59]
T('2540', '2555') Truth=[0.59]
T('1140', '1139') Truth=[0.59]
T('3392', '3395') Truth=[0.59]
T('3392', '3394') Truth=[0.59]
T('3392', '3397') Truth=[0.59]
T('3817', '4175') Truth=[0]
T('3392', '3393') Truth=[0.59]
T('2456', '1394') Truth=[0.36]
T('4399', '4164') Truth=[0]
T('652', '4386') Truth=[0]
T('1399', '1687') Truth=[0]
T('652', '4382') Truth=[0]
T('1399', '1688') Truth=[0]
T('3228', '4041') Truth=[0]
T('1399', '1685') Truth=[0]
T('176', '2911') Truth=[0.59]
T('1399', '1686') Truth=[0]
T('4221', '534') Truth=[0]
T('2911', '4329') Truth=[0.59]
T('3275', '3875') Truth=[0.59]
T('2911', '4327') Truth=[0.59]
T('2911', '4326') Truth=[0.59]
T('1143', '1177') Truth=[0]
T('2911', '4325') Truth=[0.59]
T('1678', '0') Truth=[0.74]
T('2911', '4324') Truth=[0.59]
T('3749', '4093') Truth=[0]
T('2371', '1415') Truth=[0.59]
T('360', '359') Truth=[0.59]
T('3423', '446') Truth=[0]
T('4620', '4151') Truth=[0.19]
T('3592', '1851') Truth=[0]
T('1399', '1683') Truth=[0]
T('1399', '1681') Truth=[0]
T('1399', '1682') Truth=[0]
T('2887', '2885') Truth=[0.59]
T('2206', '3489') Truth=[0.59]
T('3972', '3554') Truth=[0.59]
T('498', '3118') Truth=[0.11]
T('1089', '3587') Truth=[0.59]
T('2532', '2632') Truth=[0]
T('1703', '760') Truth=[0]
T('1587', '394') Truth=[0.59]
T('4066', '606') Truth=[0.59]
T('4421', '4710') Truth=[0]
T('4394', '1978') Truth=[0.59]
T('1990', '1656') Truth=[0]
T('4666', '2722') Truth=[0]
T('1558', '1561') Truth=[0.59]
T('2105', '3781') Truth=[0.59]
T('1371', '4141') Truth=[0]
T('383', '3594') Truth=[0.59]
T('2789', '4095') Truth=[0.47]
T('4399', '4175') Truth=[0]
T('3976', '3517') Truth=[0.49]
T('1835', '3554') Truth=[0.59]
T('19', '3808') Truth=[0]
T('3607', '3506') Truth=[0]
T('4399', '1908') Truth=[0]
T('2527', '2753') Truth=[0.13]
T('4550', '1962') Truth=[0.59]
T('2972', '655') Truth=[0.49]
T('4807', '2994') Truth=[0]
T('4399', '4245') Truth=[0]
T('4046', '978') Truth=[0]
T('1409', '4718') Truth=[0.59]
T('2706', '335') Truth=[0.59]
T('1251', '4750') Truth=[0.59]
T('2974', '625') Truth=[0]
T('2206', '2220') Truth=[0.14]
T('221', '1884') Truth=[0]
T('1251', '4752') Truth=[0.59]
T('507', '73') Truth=[0]
T('4412', '4923') Truth=[0]
T('2206', '2228') Truth=[0.59]
T('341', '3952') Truth=[0]
T('341', '3951') Truth=[0]
T('4309', '565') Truth=[0]
T('4309', '566') Truth=[0]
T('507', '59') Truth=[0]
T('1237', '2335') Truth=[0]
T('1581', '495') Truth=[0.59]
T('4322', '338') Truth=[0.59]
T('260', '547') Truth=[0]
T('2390', '457') Truth=[0.07]
T('2206', '2234') Truth=[0.59]
T('4350', '3442') Truth=[0]
T('4350', '3441') Truth=[0]
T('418', '500') Truth=[0.59]
T('849', '1557') Truth=[0]
T('1251', '4746') Truth=[0.59]
T('1251', '4749') Truth=[0.59]
T('1251', '4748') Truth=[0.59]
T('4245', '3817') Truth=[0]
T('3425', '2686') Truth=[0]
T('4755', '1387') Truth=[0.59]
T('3030', '4621') Truth=[0.59]
T('3005', '2380') Truth=[0.12]
T('4927', '3759') Truth=[0.59]
T('3030', '4625') Truth=[0.59]
T('4936', '4935') Truth=[0]
T('1208', '545') Truth=[0.59]
T('197', '495') Truth=[0.59]
T('2390', '447') Truth=[0.07]
T('3419', '1478') Truth=[0]
T('3419', '1479') Truth=[0]
T('2911', '4420') Truth=[0.59]
T('4068', '1579') Truth=[0]
T('3419', '1476') Truth=[0]
T('1765', '3564') Truth=[0.59]
T('549', '2007') Truth=[0.12]
T('12', '2489') Truth=[0.59]
T('1576', '579') Truth=[0.59]
T('1970', '1972') Truth=[0.59]
T('1576', '576') Truth=[0.59]
T('2744', '4664') Truth=[0]
T('433', '1175') Truth=[0.59]
T('1970', '1971') Truth=[0.59]
T('2633', '2444') Truth=[0]
T('4041', '4039') Truth=[0.17]
T('2851', '4279') Truth=[0.59]
T('1733', '495') Truth=[0.59]
T('1496', '1495') Truth=[0.59]
T('3641', '3159') Truth=[0.59]
T('2732', '2110') Truth=[0.59]
T('12', '2495') Truth=[0]
T('2139', '2142') Truth=[0.59]
T('3523', '2391') Truth=[0.59]
T('4228', '2734') Truth=[0]
T('2139', '2141') Truth=[0.59]
T('3422', '1348') Truth=[0.59]
T('12', '2491') Truth=[0]
T('750', '914') Truth=[0]
T('12', '2490') Truth=[0.59]
T('3422', '1343') Truth=[0.59]
T('875', '2508') Truth=[0.59]
T('3274', '3921') Truth=[0.59]
T('3372', '3679') Truth=[0]
T('3369', '3759') Truth=[0.59]
T('3422', '1350') Truth=[0.59]
T('2466', '2616') Truth=[0.59]
T('2119', '287') Truth=[0.59]
T('4451', '4449') Truth=[0.59]
T('2620', '2577') Truth=[0]
T('1215', '495') Truth=[0]
T('1491', '643') Truth=[0]
T('614', '3410') Truth=[0.59]
T('4227', '2734') Truth=[0]
T('603', '2250') Truth=[0.59]
T('2523', '2819') Truth=[0.59]
T('3422', '1349') Truth=[0.59]
T('1067', '417') Truth=[0.59]
T('172', '1582') Truth=[0.59]
T('4124', '1716') Truth=[0.59]
T('3641', '3160') Truth=[0.59]
T('4124', '1714') Truth=[0.59]
T('1983', '1834') Truth=[0]
T('4124', '1719') Truth=[0.59]
T('4124', '1718') Truth=[0.59]
T('1990', '1701') Truth=[0]
T('1302', '2429') Truth=[0]
T('1562', '1521') Truth=[0.59]
T('1974', '1972') Truth=[0.59]
T('2153', '4576') Truth=[0.59]
T('1093', '2207') Truth=[0]
T('719', '4445') Truth=[0.59]
T('3813', '4213') Truth=[0.59]
T('2206', '3532') Truth=[0.59]
T('2740', '4662') Truth=[0.59]
T('1651', '500') Truth=[0.59]
T('463', '3404') Truth=[0.59]
T('4389', '4388') Truth=[0]
T('4922', '3776') Truth=[0.15]
T('1974', '1971') Truth=[0.59]
T('1974', '1970') Truth=[0.59]
T('2740', '3332') Truth=[0.59]
T('4341', '2237') Truth=[0.59]
T('185', '1410') Truth=[0]
T('128', '3072') Truth=[0.59]
T('2974', '640') Truth=[0.59]
T('2706', '349') Truth=[0.59]
T('1034', '2935') Truth=[0]
T('2706', '348') Truth=[0.59]
T('2974', '645') Truth=[0.59]
T('2390', '487') Truth=[0.07]
T('2740', '4671') Truth=[0.59]
T('2706', '353') Truth=[0.59]
T('4175', '3791') Truth=[0]
T('2706', '351') Truth=[0.59]
T('4920', '2460') Truth=[0]
T('2162', '4444') Truth=[0.59]
T('4479', '1992') Truth=[0.59]
T('2299', '2875') Truth=[0]
T('1177', '2192') Truth=[0]
T('4350', '3423') Truth=[0]
T('1237', '2353') Truth=[0.59]
T('2136', '2138') Truth=[0]
T('2192', '4093') Truth=[0.59]
T('271', '463') Truth=[0.15]
T('2136', '2137') Truth=[0]
T('4546', '4245') Truth=[0]
T('1646', '2755') Truth=[0]
T('4717', '988') Truth=[0.59]
T('3467', '3471') Truth=[0]
T('1646', '2753') Truth=[0.13]
T('3579', '4343') Truth=[0.59]
T('3975', '131') Truth=[0]
T('2136', '2141') Truth=[0]
T('246', '2915') Truth=[0.59]
T('2136', '2142') Truth=[0]
T('2201', '2200') Truth=[0]
T('3881', '1198') Truth=[0.15]
T('187', '1410') Truth=[0]
T('1848', '2188') Truth=[0]
T('3047', '3166') Truth=[0.59]
T('3945', '3986') Truth=[0]
T('625', '4617') Truth=[0]
T('2149', '4611') Truth=[0.59]
T('3468', '3471') Truth=[0]
T('3468', '3467') Truth=[0]
T('819', '4186') Truth=[0.59]
T('3468', '3466') Truth=[0.59]
T('4636', '1852') Truth=[0]
T('1904', '1055') Truth=[0]
T('425', '463') Truth=[0.59]
T('4335', '3620') Truth=[0.59]
T('4226', '2734') Truth=[0.59]
T('860', '544') Truth=[0]
T('4395', '4229') Truth=[0.59]
T('1739', '1257') Truth=[0.59]
T('2138', '2136') Truth=[0]
T('2138', '2137') Truth=[0]
T('189', '1410') Truth=[0]
T('823', '1854') Truth=[0]
T('2138', '2135') Truth=[0]
T('1659', '495') Truth=[0.59]
T('2011', '519') Truth=[0]
T('4322', '1183') Truth=[0.59]
T('4489', '4076') Truth=[0]
T('402', '1547') Truth=[0.59]
T('854', '667') Truth=[0.59]
T('4957', '2072') Truth=[0.59]
T('2510', '1651') Truth=[0.59]
T('1110', '1582') Truth=[0.59]
T('1964', '4281') Truth=[0.59]
T('1908', '4988') Truth=[0]
T('1175', '2105') Truth=[0.59]
T('1437', '3021') Truth=[0.59]
T('466', '4734') Truth=[0.59]
T('456', '2231') Truth=[0.59]
T('3522', '2391') Truth=[0]
T('2974', '1493') Truth=[0.59]
T('860', '533') Truth=[0.59]
T('2138', '2141') Truth=[0]
T('2308', '4533') Truth=[0]
T('2138', '2142') Truth=[0]
T('1307', '213') Truth=[0]
T('2139', '2135') Truth=[0.59]
T('2139', '2136') Truth=[0]
T('3422', '3992') Truth=[0.59]
T('1824', '294') Truth=[0.59]
T('2139', '2137') Truth=[0.59]
T('4284', '2003') Truth=[0.59]
T('2139', '2138') Truth=[0.59]
T('2029', '1237') Truth=[0]
T('2155', '4529') Truth=[0.23]
T('4164', '1260') Truth=[0.12]
T('4278', '3447') Truth=[0.59]
T('4169', '2535') Truth=[0]
T('4169', '2536') Truth=[0.35]
T('4568', '1796') Truth=[0]
T('2863', '1863') Truth=[0]
T('2275', '1794') Truth=[0]
T('101', '2007') Truth=[0.12]
T('2390', '428') Truth=[0.07]
T('3752', '988') Truth=[0.15]
T('3863', '549') Truth=[0]
T('2443', '714') Truth=[0]
T('3465', '3466') Truth=[0.59]
T('1176', '2149') Truth=[0.59]
T('3465', '3467') Truth=[0]
T('1587', '1280') Truth=[0.59]
T('2276', '1797') Truth=[0.59]
T('1500', '4497') Truth=[0.23]
T('3404', '709') Truth=[0.59]
T('1587', '1273') Truth=[0.59]
T('3945', '2605') Truth=[0]
T('4319', '2525') Truth=[0.59]
T('854', '675') Truth=[0.59]
T('1327', '2181') Truth=[0.59]
T('4382', '4386') Truth=[0]
T('1117', '2877') Truth=[0.59]
T('3795', '3902') Truth=[0.59]
T('667', '1952') Truth=[0.59]
T('4048', '1773') Truth=[0]
T('4249', '302') Truth=[0.49]
T('4264', '2296') Truth=[0]
T('4249', '301') Truth=[0]
T('4675', '500') Truth=[0.59]
T('937', '1410') Truth=[0.59]
T('3465', '3471') Truth=[0]
T('4264', '2293') Truth=[0]
T('2010', '572') Truth=[0]
T('4264', '2294') Truth=[0]
T('2394', '1244') Truth=[0.59]
T('1338', '3320') Truth=[0.59]
T('3467', '3466') Truth=[0.59]
T('1587', '1254') Truth=[0.59]
T('1587', '1253') Truth=[0.59]
T('409', '2820') Truth=[0.59]
T('4094', '321') Truth=[0.59]
T('2200', '2201') Truth=[0]
T('2010', '569') Truth=[0]
T('1587', '1256') Truth=[0]
T('1748', '2460') Truth=[0]
T('249', '2932') Truth=[0.59]
T('1336', '3340') Truth=[0.59]
T('2136', '2135') Truth=[0]
T('197', '1306') Truth=[0]
T('2010', '560') Truth=[0]
T('2861', '1969') Truth=[0]
T('3614', '2267') Truth=[0]
T('4927', '322') Truth=[0.59]
T('1900', '2489') Truth=[0.59]
T('1471', '1780') Truth=[0.59]
T('507', '2486') Truth=[0]
T('3463', '3557') Truth=[0.59]
T('573', '4282') Truth=[0]
T('2136', '3514') Truth=[0]
T('1845', '3580') Truth=[0.59]
T('1579', '2744') Truth=[0]
T('3404', '2976') Truth=[0.59]
T('464', '2039') Truth=[0]
T('4189', '211') Truth=[0]
T('468', '3318') Truth=[0]
T('4836', '1350') Truth=[0.59]
T('2238', '4559') Truth=[0]
T('3833', '1822') Truth=[0.59]
T('1483', '2917') Truth=[0]
T('4164', '2637') Truth=[0.25]
T('2238', '4560') Truth=[0]
T('2974', '2850') Truth=[0.59]
T('3834', '4082') Truth=[0]
T('1796', '4568') Truth=[0]
T('4590', '2849') Truth=[0]
T('3029', '2170') Truth=[0.59]
T('4533', '3175') Truth=[0.51]
T('2287', '1716') Truth=[0.59]
T('3950', '3923') Truth=[0]
T('2603', '1546') Truth=[0.59]
T('2287', '1714') Truth=[0.59]
T('1048', '2856') Truth=[0]
T('2287', '1718') Truth=[0.59]
T('2287', '1719') Truth=[0.59]
T('2389', '2755') Truth=[0]
T('2620', '495') Truth=[0]
T('2389', '2753') Truth=[0.28]
T('3356', '1320') Truth=[0.59]
T('2138', '3514') Truth=[0]
T('2242', '3159') Truth=[0.59]
T('3252', '2961') Truth=[0.59]
T('2659', '3550') Truth=[0]
T('680', '1624') Truth=[0.59]
T('4093', '1253') Truth=[0]
T('2863', '4178') Truth=[0]
T('3867', '2770') Truth=[0.59]
T('1443', '4350') Truth=[0]
T('1041', '754') Truth=[0]
T('271', '3835') Truth=[0.59]
T('4382', '4405') Truth=[0]
T('3851', '769') Truth=[0]
T('2010', '636') Truth=[0]
T('2487', '2441') Truth=[0.12]
T('846', '2806') Truth=[0]
T('680', '2983') Truth=[0.59]
T('4299', '3294') Truth=[0]
T('2070', '2056') Truth=[0]
T('4093', '1245') Truth=[0]
T('1121', '1506') Truth=[0.59]
T('4093', '1249') Truth=[0]
T('1327', '3554') Truth=[0]
T('2440', '1633') Truth=[0.59]
T('2440', '1632') Truth=[0.59]
T('516', '2375') Truth=[0.59]
T('2440', '1630') Truth=[0.59]
T('2440', '1637') Truth=[0.59]
T('1306', '320') Truth=[0.49]
T('3612', '2250') Truth=[0]
T('1723', '670') Truth=[0]
T('468', '4688') Truth=[0.59]
T('2633', '19') Truth=[0]
T('4944', '3593') Truth=[0]
T('4944', '3592') Truth=[0]
T('244', '726') Truth=[0]
T('2127', '3636') Truth=[0.59]
T('1636', '1637') Truth=[0.59]
T('2329', '3074') Truth=[0]
T('1636', '1632') Truth=[0.59]
T('1636', '1633') Truth=[0.59]
T('1048', '1565') Truth=[0]
T('4093', '1280') Truth=[0]
T('4836', '1349') Truth=[0.59]
T('1048', '1568') Truth=[0]
T('4836', '1348') Truth=[0.59]
T('781', '1399') Truth=[0]
T('4836', '1343') Truth=[0.59]
T('2708', '2502') Truth=[0.59]
T('1900', '2491') Truth=[0]
T('4419', '3638') Truth=[0.59]
T('1900', '2490') Truth=[0.59]
T('2892', '779') Truth=[0]
T('3881', '2558') Truth=[0]
T('2076', '2002') Truth=[0.59]
T('1636', '1630') Truth=[0.59]
T('1040', '754') Truth=[0]
T('1900', '2495') Truth=[0]
T('285', '277') Truth=[0.59]
T('876', '315') Truth=[0]
T('4836', '3992') Truth=[0.59]
T('875', '326') Truth=[0]
T('1409', '2137') Truth=[0.59]
T('1409', '2136') Truth=[0]
T('1409', '2135') Truth=[0.59]
T('221', '4081') Truth=[0]
T('2709', '384') Truth=[0]
T('1409', '2138') Truth=[0.59]
T('4047', '4034') Truth=[0.59]
T('1411', '2070') Truth=[0]
T('4047', '4037') Truth=[0.59]
T('4047', '4033') Truth=[0]
T('4267', '197') Truth=[0]
T('3749', '1964') Truth=[0]
T('2440', '2917') Truth=[0.59]
T('3362', '383') Truth=[0.59]
T('4047', '4038') Truth=[0.59]
T('3002', '225') Truth=[0]
T('937', '1398') Truth=[0.59]
T('3821', '4178') Truth=[0]
T('831', '832') Truth=[0.59]
T('1143', '1253') Truth=[0]
T('1143', '1245') Truth=[0]
