--- Atoms: 
T('3801', '7186') Truth=[0]
T('2240', '9829') Truth=[0.59]
T('2667', '2675') Truth=[0.59]
T('2667', '2673') Truth=[0.59]
T('4784', '6415') Truth=[0.59]
T('2667', '2674') Truth=[0.59]
T('8018', '4701') Truth=[0.59]
T('4784', '6416') Truth=[0.59]
T('3560', '8666') Truth=[0]
T('1950', '255') Truth=[0.59]
T('3560', '8665') Truth=[0]
T('2083', '9901') Truth=[0.59]
T('7893', '8920') Truth=[0]
T('3560', '8667') Truth=[0]
T('7494', '3541') Truth=[0]
T('131', '237') Truth=[0.59]
T('2667', '2659') Truth=[0.59]
T('4997', '7014') Truth=[0]
T('2117', '861') Truth=[0.59]
T('4997', '7015') Truth=[0]
T('2669', '2631') Truth=[0.59]
T('2669', '2635') Truth=[0.59]
T('1793', '7325') Truth=[0.13]
T('7874', '6565') Truth=[0.59]
T('7979', '6235') Truth=[0]
T('898', '6583') Truth=[0]
T('5926', '1252') Truth=[0.59]
T('3539', '5038') Truth=[0.34]
T('2667', '2660') Truth=[0.59]
T('2667', '2661') Truth=[0.59]
T('3539', '5032') Truth=[0.45]
T('3539', '5033') Truth=[0.17]
T('2667', '2664') Truth=[0.59]
T('9190', '3436') Truth=[0.59]
T('2667', '2665') Truth=[0.59]
T('2082', '9901') Truth=[0.74]
T('2667', '2668') Truth=[0.59]
T('2669', '2660') Truth=[0.59]
T('9399', '5460') Truth=[0]
T('2669', '2661') Truth=[0.59]
T('9402', '2303') Truth=[0.16]
T('1793', '9990') Truth=[0.59]
T('3116', '2513') Truth=[0.59]
T('5317', '6213') Truth=[0]
T('6315', '4881') Truth=[0.42]
T('9402', '2301') Truth=[0]
T('2669', '2664') Truth=[0.59]
T('3241', '5817') Truth=[0]
T('2669', '2665') Truth=[0.59]
T('3241', '5818') Truth=[0]
T('2669', '2668') Truth=[0.59]
T('9954', '9445') Truth=[0.59]
T('1732', '6767') Truth=[0]
T('4720', '4527') Truth=[0.59]
T('2667', '2693') Truth=[0.59]
T('2842', '2324') Truth=[0.59]
T('6148', '2463') Truth=[0]
T('9121', '1680') Truth=[0]
T('4768', '5339') Truth=[0.49]
T('7041', '7129') Truth=[0]
T('2667', '2699') Truth=[0.59]
T('8403', '6311') Truth=[0.59]
T('2669', '2651') Truth=[0.59]
T('6599', '255') Truth=[0.59]
T('8351', '7351') Truth=[0.59]
T('4784', '770') Truth=[0.59]
T('2669', '2656') Truth=[0.59]
T('2669', '2659') Truth=[0.59]
T('2334', '8349') Truth=[0]
T('2116', '891') Truth=[0.59]
T('2669', '2658') Truth=[0.59]
T('7874', '7872') Truth=[0.59]
T('6205', '1319') Truth=[0.59]
T('2842', '0') Truth=[0.59]
T('4783', '6415') Truth=[0.59]
T('9084', '3836') Truth=[0.59]
T('2667', '2682') Truth=[0.59]
T('575', '3734') Truth=[0.59]
T('2667', '2685') Truth=[0.59]
T('575', '3733') Truth=[0.59]
T('2667', '2628') Truth=[0.59]
T('3381', '6382') Truth=[0]
T('2173', '8410') Truth=[0.13]
T('2669', '2601') Truth=[0.59]
T('9728', '7775') Truth=[0]
T('6701', '5118') Truth=[0.59]
T('2669', '2606') Truth=[0.59]
T('2669', '2607') Truth=[0.59]
T('2667', '2631') Truth=[0.59]
T('9912', '9911') Truth=[0.37]
T('2943', '4641') Truth=[0.11]
T('5129', '4099') Truth=[0.59]
T('2667', '2635') Truth=[0.59]
T('5210', '5211') Truth=[0.59]
T('5210', '5212') Truth=[0.59]
T('5926', '1200') Truth=[0.59]
T('5210', '5213') Truth=[0.59]
T('2667', '2617') Truth=[0.59]
T('3551', '7435') Truth=[0]
T('6309', '0') Truth=[0]
T('2667', '2615') Truth=[0.59]
T('2667', '2619') Truth=[0.59]
T('6199', '3156') Truth=[0]
T('8005', '2284') Truth=[0]
T('8005', '2285') Truth=[0]
T('4720', '4518') Truth=[0.59]
T('9349', '4753') Truth=[0]
T('8005', '2280') Truth=[0]
T('8251', '6311') Truth=[0.37]
T('6891', '1924') Truth=[0.17]
T('4720', '4514') Truth=[0.59]
T('8005', '2282') Truth=[0]
T('4720', '4517') Truth=[0.59]
T('8005', '2283') Truth=[0]
T('4720', '4516') Truth=[0.59]
T('2123', '715') Truth=[0.59]
T('1664', '6680') Truth=[0.59]
T('6993', '2961') Truth=[0]
T('6905', '7183') Truth=[0.59]
T('4712', '4650') Truth=[0]
T('2667', '2621') Truth=[0.59]
T('9514', '5869') Truth=[0]
T('2893', '6974') Truth=[0]
T('4204', '9362') Truth=[0.59]
T('8853', '2781') Truth=[0.13]
T('7702', '3731') Truth=[0.59]
T('2667', '2625') Truth=[0.59]
T('2667', '2622') Truth=[0.59]
T('2667', '2623') Truth=[0.59]
T('2667', '2649') Truth=[0.59]
T('2669', '2622') Truth=[0.59]
T('8179', '5056') Truth=[0.59]
T('2669', '2623') Truth=[0.59]
T('2669', '2621') Truth=[0.59]
T('4650', '4485') Truth=[0.59]
T('4650', '4487') Truth=[0]
T('2669', '2625') Truth=[0.59]
T('4650', '4486') Truth=[0]
T('7129', '7041') Truth=[0]
T('2895', '6974') Truth=[0]
T('6476', '6474') Truth=[0]
T('2669', '2628') Truth=[0.59]
T('1131', '1913') Truth=[0.59]
T('9914', '9912') Truth=[0.25]
T('3460', '8910') Truth=[0]
T('4650', '4489') Truth=[0]
T('2817', '1371') Truth=[0]
T('4650', '4488') Truth=[0.41]
T('9643', '7803') Truth=[0]
T('482', '3915') Truth=[0.59]
T('2667', '2651') Truth=[0.59]
T('2667', '2658') Truth=[0.59]
T('6814', '314') Truth=[0.59]
T('2667', '2656') Truth=[0.59]
T('2894', '6974') Truth=[0]
T('4544', '3544') Truth=[0.59]
T('6148', '3735') Truth=[0]
T('4710', '4650') Truth=[0]
T('4489', '4650') Truth=[0]
T('2669', '2615') Truth=[0.59]
T('3664', '8321') Truth=[0.59]
T('2669', '2614') Truth=[0.59]
T('2669', '2619') Truth=[0.59]
T('3649', '290') Truth=[0.59]
T('3649', '291') Truth=[0.59]
T('2669', '2617') Truth=[0.59]
T('4050', '8003') Truth=[0.59]
T('1793', '8631') Truth=[0.07]
T('9644', '7803') Truth=[0]
T('4050', '8002') Truth=[0.59]
T('4200', '8053') Truth=[0.59]
T('1724', '6861') Truth=[0]
T('5264', '9889') Truth=[0]
T('6865', '8014') Truth=[0.59]
T('2667', '2642') Truth=[0.59]
T('1730', '6752') Truth=[0.59]
T('4709', '4710') Truth=[0]
T('2667', '2643') Truth=[0.59]
T('2667', '2640') Truth=[0.59]
T('4709', '4711') Truth=[0.59]
T('5940', '3609') Truth=[0.59]
T('2667', '2647') Truth=[0.59]
T('5574', '1720') Truth=[0]
T('3512', '892') Truth=[0]
T('1083', '1546') Truth=[0]
T('4677', '6769') Truth=[0]
T('37', '6457') Truth=[0]
T('9822', '7454') Truth=[0.59]
T('9822', '7453') Truth=[0.59]
T('3620', '7460') Truth=[0.59]
T('8841', '1507') Truth=[0.59]
T('1509', '3645') Truth=[0]
T('1509', '3647') Truth=[0]
T('2669', '2596') Truth=[0.59]
T('2669', '2597') Truth=[0.59]
T('1084', '1546') Truth=[0]
T('1371', '4717') Truth=[0.59]
T('6337', '5840') Truth=[0]
T('928', '4482') Truth=[0.59]
T('883', '5391') Truth=[0.59]
T('777', '5774') Truth=[0.59]
T('777', '5773') Truth=[0.59]
T('4447', '2476') Truth=[0.59]
T('5575', '1720') Truth=[0.59]
T('7716', '4861') Truth=[0]
T('36', '6457') Truth=[0.59]
T('2083', '8520') Truth=[0.59]
T('563', '2528') Truth=[0]
T('6505', '6938') Truth=[0]
T('6466', '816') Truth=[0.59]
T('2194', '9413') Truth=[0]
T('834', '5940') Truth=[0.59]
T('2901', '2450') Truth=[0.59]
T('2082', '255') Truth=[0]
T('561', '2528') Truth=[0]
T('773', '3134') Truth=[0.59]
T('417', '9197') Truth=[0.59]
T('893', '892') Truth=[0]
T('6398', '6400') Truth=[0.59]
T('6504', '6938') Truth=[0.17]
T('3124', '4998') Truth=[0.59]
T('7879', '6456') Truth=[0.59]
T('4938', '5029') Truth=[0]
T('4861', '628') Truth=[0.59]
T('3130', '2228') Truth=[0.59]
T('5572', '1720') Truth=[0]
T('6230', '2201') Truth=[0]
T('1796', '237') Truth=[0]
T('2195', '9413') Truth=[0]
T('2083', '255') Truth=[0]
T('9988', '9059') Truth=[0]
T('2740', '1238') Truth=[0.59]
T('9827', '8758') Truth=[0.59]
T('877', '4151') Truth=[0.59]
T('4692', '7826') Truth=[0.59]
T('8838', '1608') Truth=[0]
T('2242', '9771') Truth=[0.59]
T('8168', '743') Truth=[0.59]
T('9776', '9778') Truth=[0.59]
T('7003', '8814') Truth=[0]
T('1641', '6854') Truth=[0]
T('5573', '1720') Truth=[0.13]
T('9840', '9841') Truth=[0.59]
T('9840', '9842') Truth=[0.59]
T('2117', '770') Truth=[0.59]
T('3437', '5267') Truth=[0.59]
T('2669', '2565') Truth=[0.59]
T('2233', '231') Truth=[0]
T('6549', '776') Truth=[0]
T('6606', '7947') Truth=[0.41]
T('6561', '8856') Truth=[0]
T('5073', '619') Truth=[0.59]
T('9988', '9060') Truth=[0]
T('3459', '8910') Truth=[0]
T('2740', '2517') Truth=[0.59]
T('47', '7667') Truth=[0]
T('6931', '8057') Truth=[0.59]
T('2667', '2596') Truth=[0.59]
T('2667', '2597') Truth=[0.59]
T('840', '4558') Truth=[0]
T('2669', '2571') Truth=[0.59]
T('1896', '9582') Truth=[0]
T('843', '4533') Truth=[0.59]
T('9717', '7876') Truth=[0.59]
T('843', '4532') Truth=[0.59]
T('843', '4531') Truth=[0.59]
T('843', '4530') Truth=[0.59]
T('4080', '1835') Truth=[0.59]
T('953', '6764') Truth=[0.59]
T('953', '6763') Truth=[0.59]
T('953', '6766') Truth=[0.59]
T('843', '4535') Truth=[0.59]
T('5940', '3590') Truth=[0.59]
T('7825', '5734') Truth=[0]
T('9559', '992') Truth=[0]
T('7757', '4377') Truth=[0.59]
T('2667', '2580') Truth=[0.59]
T('9559', '994') Truth=[0]
T('7042', '7040') Truth=[0]
T('2667', '2583') Truth=[0.59]
T('2667', '2584') Truth=[0.59]
T('2667', '2581') Truth=[0.59]
T('2667', '2582') Truth=[0.59]
T('9065', '1420') Truth=[0.59]
T('2283', '9277') Truth=[0]
T('7933', '6653') Truth=[0]
T('897', '887') Truth=[0.59]
T('60', '8786') Truth=[0.59]
T('6487', '7591') Truth=[0.59]
T('2669', '2583') Truth=[0.59]
T('2669', '2584') Truth=[0.59]
T('5932', '1038') Truth=[0]
T('6551', '5001') Truth=[0.59]
T('5932', '1039') Truth=[0]
T('794', '6831') Truth=[0.59]
T('9066', '1420') Truth=[0.59]
T('6392', '6436') Truth=[0.59]
T('2961', '6988') Truth=[0]
T('2285', '9277') Truth=[0]
T('1361', '3519') Truth=[0.42]
T('2082', '8520') Truth=[0.59]
T('7868', '6584') Truth=[0.59]
T('7868', '6588') Truth=[0.59]
T('7932', '6653') Truth=[0]
T('2233', '255') Truth=[0]
T('7868', '6581') Truth=[0.16]
T('2669', '2574') Truth=[0.59]
T('1361', '3520') Truth=[0]
T('2669', '2572') Truth=[0.59]
T('6922', '8167') Truth=[0.59]
T('2669', '2578') Truth=[0.59]
T('2669', '2579') Truth=[0.59]
T('2669', '2576') Truth=[0.59]
T('9190', '3416') Truth=[0]
T('2284', '9277') Truth=[0]
T('8180', '7594') Truth=[0.59]
T('6327', '5946') Truth=[0.59]
T('7440', '2752') Truth=[0.04]
T('5273', '7048') Truth=[0.59]
T('53', '6235') Truth=[0]
T('2781', '2083') Truth=[0]
T('7868', '6572') Truth=[0.16]
T('7868', '6574') Truth=[0.59]
T('9338', '3527') Truth=[0.59]
T('2472', '1713') Truth=[0.59]
T('5932', '1043') Truth=[0]
T('2669', '2581') Truth=[0.59]
T('5932', '1041') Truth=[0]
T('2669', '2582') Truth=[0.59]
T('7868', '6571') Truth=[0]
T('6489', '8898') Truth=[0.59]
T('2669', '2580') Truth=[0.59]
T('5932', '1040') Truth=[0]
T('7471', '2412') Truth=[0]
T('7832', '3085') Truth=[0]
T('3524', '6439') Truth=[0.59]
T('1433', '4924') Truth=[0.36]
T('3409', '4307') Truth=[0.59]
T('3069', '2180') Truth=[0.59]
T('3409', '4305') Truth=[0.59]
T('5762', '3903') Truth=[0]
T('3409', '4308') Truth=[0.59]
T('2253', '7011') Truth=[0]
T('5693', '3884') Truth=[0.49]
T('699', '3156') Truth=[0.1]
T('7563', '2271') Truth=[0.59]
T('8289', '255') Truth=[0.59]
T('6140', '2411') Truth=[0.59]
T('9643', '6459') Truth=[0]
T('7609', '1359') Truth=[0.59]
T('6452', '5399') Truth=[0]
T('2850', '2197') Truth=[0]
T('9325', '4910') Truth=[0]
T('9426', '4635') Truth=[0]
T('6690', '9566') Truth=[0.59]
T('9971', '9195') Truth=[0.59]
T('9644', '6459') Truth=[0.59]
T('5948', '2291') Truth=[0.59]
T('1320', '1401') Truth=[0.59]
T('6073', '3695') Truth=[0.59]
T('2198', '8115') Truth=[0]
T('5948', '2288') Truth=[0.59]
T('4922', '7825') Truth=[0.59]
T('7836', '5683') Truth=[0.59]
T('4922', '7827') Truth=[0]
T('4922', '7828') Truth=[0.15]
T('5072', '5073') Truth=[0]
T('4194', '1486') Truth=[0]
T('5948', '2289') Truth=[0.59]
T('2', '8319') Truth=[0.19]
T('6970', '1852') Truth=[0.59]
T('4252', '1630') Truth=[0.59]
T('4743', '6878') Truth=[0.59]
T('6554', '5094') Truth=[0.59]
T('7830', '3085') Truth=[0]
T('4973', '255') Truth=[0.59]
T('4635', '5959') Truth=[0]
T('8267', '7437') Truth=[0]
T('3635', '6004') Truth=[0.59]
T('7115', '7117') Truth=[0.59]
T('5071', '5072') Truth=[0]
T('9805', '6350') Truth=[0.59]
T('3627', '7466') Truth=[0.59]
T('8099', '5021') Truth=[0.59]
T('2404', '8394') Truth=[0.59]
T('4744', '6878') Truth=[0.59]
T('6736', '8621') Truth=[0.59]
T('4922', '848') Truth=[0.03]
T('4194', '2797') Truth=[0.59]
T('5504', '8374') Truth=[0.59]
T('285', '1828') Truth=[0]
T('285', '1827') Truth=[0]
T('6076', '4955') Truth=[0]
T('285', '1826') Truth=[0]
T('285', '1824') Truth=[0]
T('4741', '6878') Truth=[0.59]
T('285', '1823') Truth=[0]
T('3964', '2992') Truth=[0.59]
T('285', '1822') Truth=[0]
T('6233', '4886') Truth=[0.59]
T('2903', '2450') Truth=[0.59]
T('7836', '5657') Truth=[0.59]
T('2117', '5173') Truth=[0.59]
T('7325', '9060') Truth=[0]
T('5187', '9851') Truth=[0]
T('730', '4907') Truth=[0.59]
T('5187', '9850') Truth=[0]
T('5187', '9853') Truth=[0]
T('599', '2130') Truth=[0.59]
T('2484', '2935') Truth=[0]
T('2860', '3340') Truth=[0.59]
T('1355', '1039') Truth=[0.59]
T('4742', '6878') Truth=[0]
T('1355', '1038') Truth=[0.59]
T('9304', '1296') Truth=[0]
T('9660', '585') Truth=[0]
T('6670', '7181') Truth=[0.59]
T('6337', '3222') Truth=[0.59]
T('5901', '1433') Truth=[0]
T('7325', '9059') Truth=[0]
T('6233', '4871') Truth=[0.59]
T('3624', '8778') Truth=[0]
T('158', '8219') Truth=[0.59]
T('3088', '5842') Truth=[0]
T('2019', '4108') Truth=[0.59]
T('6507', '6938') Truth=[0.59]
T('3088', '5844') Truth=[0.06]
T('3177', '3088') Truth=[0]
T('3088', '5843') Truth=[0.59]
T('7220', '9373') Truth=[0]
T('7220', '9371') Truth=[0]
T('1355', '1043') Truth=[0.59]
T('4679', '6760') Truth=[0.59]
T('705', '3979') Truth=[0]
T('1355', '1041') Truth=[0.59]
T('5576', '1720') Truth=[0.59]
T('1355', '1040') Truth=[0.59]
T('2242', '8497') Truth=[0.59]
T('2242', '8496') Truth=[0.59]
T('2242', '8495') Truth=[0.59]
T('9875', '9467') Truth=[0]
T('1696', '6230') Truth=[0]
T('9875', '9468') Truth=[0.49]
T('9875', '9469') Truth=[0]
T('2242', '8499') Truth=[0.59]
T('9875', '9466') Truth=[0]
T('1371', '3434') Truth=[0.59]
T('1974', '9564') Truth=[0]
T('3088', '5838') Truth=[0.04]
T('8808', '9048') Truth=[0]
T('1811', '7961') Truth=[0.59]
T('7950', '7766') Truth=[0.59]
T('9820', '6139') Truth=[0.14]
T('3410', '6886') Truth=[0]
T('3635', '339') Truth=[0.59]
T('285', '1819') Truth=[0]
T('285', '1818') Truth=[0]
T('3019', '1414') Truth=[0.59]
T('4458', '3655') Truth=[0.59]
T('7950', '7765') Truth=[0.74]
T('9875', '9470') Truth=[0]
T('9875', '9471') Truth=[0]
T('8895', '4847') Truth=[0.59]
T('6010', '1762') Truth=[0.59]
T('3466', '6219') Truth=[0.59]
T('8996', '4565') Truth=[0.59]
T('2667', '2705') Truth=[0.59]
T('861', '5564') Truth=[0.59]
T('2667', '2706') Truth=[0.59]
T('2667', '2703') Truth=[0.59]
T('270', '1920') Truth=[0.59]
T('3098', '4572') Truth=[0.09]
T('1219', '1924') Truth=[0]
T('131', '198') Truth=[0.59]
T('2667', '2710') Truth=[0.59]
T('4983', '276') Truth=[0]
T('1333', '1414') Truth=[0]
T('6480', '6472') Truth=[0.59]
T('9409', '3740') Truth=[0]
T('5156', '7735') Truth=[0.59]
T('8041', '5845') Truth=[0.59]
T('14', '6639') Truth=[0.59]
T('6099', '4836') Truth=[0.59]
T('14', '6638') Truth=[0]
T('3156', '4748') Truth=[0]
T('1811', '4189') Truth=[0.59]
T('201', '203') Truth=[0]
T('6487', '7726') Truth=[0.59]
T('1207', '9119') Truth=[0.59]
T('7426', '1803') Truth=[0.59]
T('2667', '2702') Truth=[0.59]
T('5204', '6748') Truth=[0.59]
T('301', '8229') Truth=[0.59]
T('3650', '295') Truth=[0]
T('8696', '1693') Truth=[0.59]
T('7593', '5971') Truth=[0]
T('2943', '3409') Truth=[0.24]
T('9812', '7710') Truth=[0.59]
T('2669', '2703') Truth=[0.59]
T('2669', '2702') Truth=[0.59]
T('2419', '8385') Truth=[0.59]
T('2669', '2705') Truth=[0.59]
T('3818', '107') Truth=[0.59]
T('2669', '2706') Truth=[0.59]
T('1493', '4390') Truth=[0.59]
T('5966', '2162') Truth=[0.59]
T('4712', '4709') Truth=[0]
T('2667', '2716') Truth=[0.59]
T('2667', '2717') Truth=[0.59]
T('2667', '2715') Truth=[0.59]
T('5989', '5812') Truth=[0]
T('7087', '9312') Truth=[0]
T('585', '2214') Truth=[0.59]
T('4422', '1578') Truth=[0]
T('9971', '9371') Truth=[0]
T('9749', '7639') Truth=[0.59]
T('9971', '9373') Truth=[0]
T('2368', '8069') Truth=[0.59]
T('9971', '9372') Truth=[0]
T('8697', '1693') Truth=[0.59]
T('4712', '4710') Truth=[0]
T('135', '136') Truth=[0.59]
T('4712', '4711') Truth=[0]
T('6969', '9109') Truth=[0]
T('6969', '9108') Truth=[0]
T('641', '2412') Truth=[0]
T('1494', '4390') Truth=[0]
T('2667', '2722') Truth=[0.59]
T('4488', '4710') Truth=[0]
T('3525', '6582') Truth=[0]
T('4743', '3063') Truth=[0.59]
T('7197', '1873') Truth=[0.59]
T('5912', '2783') Truth=[0.59]
T('6701', '840') Truth=[0.59]
T('4489', '4709') Truth=[0]
T('639', '1201') Truth=[0.59]
T('589', '4874') Truth=[0]
T('1647', '4334') Truth=[0.59]
T('4420', '1578') Truth=[0]
T('1647', '6999') Truth=[0.59]
T('4922', '5319') Truth=[0.03]
T('2775', '4928') Truth=[0.49]
T('4489', '4710') Truth=[0]
T('3094', '4572') Truth=[0.59]
T('6690', '8398') Truth=[0.59]
T('6747', '9961') Truth=[0]
T('7851', '5588') Truth=[0]
T('2098', '7211') Truth=[0]
T('5987', '5812') Truth=[0]
T('2098', '7210') Truth=[0]
T('9926', '9925') Truth=[0]
T('2098', '7213') Truth=[0]
T('2098', '7212') Truth=[0]
T('4744', '3063') Truth=[0.59]
T('6150', '3735') Truth=[0.59]
T('6466', '6688') Truth=[0.59]
T('1647', '4345') Truth=[0.59]
T('2150', '7474') Truth=[0]
T('4421', '1578') Truth=[0]
T('2880', '5877') Truth=[0]
T('4472', '2267') Truth=[0.59]
T('6578', '7549') Truth=[0.59]
T('1711', '3104') Truth=[0.59]
T('4756', '6846') Truth=[0]
T('6311', '3604') Truth=[0.59]
T('6854', '9564') Truth=[0]
T('3806', '8551') Truth=[0.59]
T('4487', '4710') Truth=[0]
T('4487', '4711') Truth=[0.59]
T('4742', '3063') Truth=[0]
T('5974', '5975') Truth=[0.59]
T('3314', '3316') Truth=[0]
T('3314', '3319') Truth=[0]
T('526', '2992') Truth=[0.59]
T('8382', '9761') Truth=[0]
T('6094', '4836') Truth=[0.59]
T('4473', '2267') Truth=[0.59]
T('4650', '3205') Truth=[0.02]
T('1350', '70') Truth=[0]
T('2253', '7189') Truth=[0]
T('7021', '474') Truth=[0.59]
T('8371', '7282') Truth=[0]
T('78', '262') Truth=[0.59]
T('8766', '1751') Truth=[0]
T('203', '201') Truth=[0]
T('203', '202') Truth=[0]
T('6356', '3105') Truth=[0.59]
T('4660', '3172') Truth=[0]
T('4660', '3173') Truth=[0]
T('7764', '3135') Truth=[0.23]
T('4279', '1532') Truth=[0]
T('3177', '5842') Truth=[0]
T('5307', '5185') Truth=[0.42]
T('3177', '5843') Truth=[0.59]
T('4790', '6415') Truth=[0]
T('6155', '1143') Truth=[0]
T('1277', '1278') Truth=[0.59]
T('843', '5778') Truth=[0.59]
T('3193', '6901') Truth=[0]
T('4707', '3573') Truth=[0.23]
T('2669', '2767') Truth=[0.59]
T('3177', '5844') Truth=[0.59]
T('4877', '5052') Truth=[0.59]
T('3193', '6902') Truth=[0]
T('3193', '6903') Truth=[0]
T('2123', '867') Truth=[0.59]
T('937', '4289') Truth=[0.59]
T('2329', '255') Truth=[0.59]
T('8136', '6914') Truth=[0]
T('4709', '4886') Truth=[0.59]
T('7882', '7884') Truth=[0.59]
T('3241', '5910') Truth=[0]
T('7041', '7269') Truth=[0]
T('3055', '2453') Truth=[0.59]
T('3241', '5904') Truth=[0.59]
T('4555', '3556') Truth=[0.59]
T('1278', '1277') Truth=[0.59]
T('3241', '5905') Truth=[0]
T('3241', '5909') Truth=[0]
T('1888', '275') Truth=[0.59]
T('3177', '5838') Truth=[0.59]
T('8619', '8311') Truth=[0.12]
T('4787', '840') Truth=[0.74]
T('7440', '1635') Truth=[0.59]
T('5100', '3156') Truth=[0.17]
T('3055', '2452') Truth=[0.59]
T('829', '3345') Truth=[0.59]
T('7881', '7880') Truth=[0]
T('9403', '3740') Truth=[0]
T('669', '4781') Truth=[0.59]
T('9899', '9349') Truth=[0]
T('7985', '6239') Truth=[0]
T('1798', '8728') Truth=[0.59]
T('4789', '840') Truth=[0.15]
T('6709', '840') Truth=[0.59]
T('111', '7370') Truth=[0.59]
T('9717', '4050') Truth=[0.59]
T('1104', '8184') Truth=[0.59]
T('2943', '3499') Truth=[0.59]
T('575', '3602') Truth=[0.59]
T('9901', '8853') Truth=[0]
T('170', '9293') Truth=[0.59]
T('1953', '7351') Truth=[0]
T('8741', '9009') Truth=[0]
T('5112', '5613') Truth=[0.59]
T('7033', '7374') Truth=[0.59]
T('8741', '9008') Truth=[0]
T('8741', '9007') Truth=[0]
T('6394', '971') Truth=[0.59]
T('728', '3632') Truth=[0.59]
T('1794', '6117') Truth=[0.59]
