--- Atoms: 
T('4139', '1206') Truth=[0.59]
T('2067', '4393') Truth=[0.59]
T('2238', '4112') Truth=[0.67]
T('2390', '3573') Truth=[0.24]
T('2256', '855') Truth=[0.24]
T('3248', '3926') Truth=[0.27]
T('2390', '971') Truth=[0.24]
T('1587', '4866') Truth=[0.16]
T('1531', '1538') Truth=[0.59]
T('3248', '3923') Truth=[0.23]
T('1587', '3539') Truth=[0.14]
T('1587', '4867') Truth=[0.16]
T('3395', '495') Truth=[0.67]
T('1587', '4868') Truth=[0.16]
T('4024', '2114') Truth=[0]
T('1587', '4861') Truth=[0.16]
T('1366', '1741') Truth=[0.67]
T('189', '2509') Truth=[0]
T('2533', '2389') Truth=[0.38]
T('1557', '4330') Truth=[0.56]
T('86', '4025') Truth=[0]
T('86', '4024') Truth=[0]
T('1587', '4816') Truth=[0.16]
T('86', '4026') Truth=[0]
T('4460', '1782') Truth=[0.16]
T('2533', '2390') Truth=[0]
T('86', '4028') Truth=[0]
T('4836', '4892') Truth=[0.56]
T('1587', '4812') Truth=[0.16]
T('4836', '4893') Truth=[0.67]
T('273', '223') Truth=[0]
T('4342', '2719') Truth=[0.39]
T('2932', '2073') Truth=[0.12]
T('4904', '4903') Truth=[0.67]
T('2390', '2220') Truth=[0]
T('4053', '3912') Truth=[0]
T('1587', '4808') Truth=[0.16]
T('3645', '3612') Truth=[0.53]
T('116', '3808') Truth=[0]
T('1791', '1901') Truth=[0.19]
T('426', '4110') Truth=[0.58]
T('4836', '4878') Truth=[0.67]
T('4836', '4887') Truth=[0.67]
T('4836', '4886') Truth=[0.67]
T('1702', '495') Truth=[0.67]
T('4836', '4884') Truth=[0.67]
T('1587', '4801') Truth=[0.16]
T('4836', '4882') Truth=[0.67]
T('4836', '4880') Truth=[0.67]
T('2777', '3464') Truth=[0.47]
T('2682', '2308') Truth=[0.67]
T('2390', '2228') Truth=[0.67]
T('45', '1415') Truth=[0.67]
T('1975', '2039') Truth=[0.49]
T('3565', '4110') Truth=[0.67]
T('187', '2509') Truth=[0]
T('4836', '3539') Truth=[0.56]
T('4836', '4867') Truth=[0.67]
T('6', '4756') Truth=[0.59]
T('4836', '4868') Truth=[0.67]
T('1557', '4355') Truth=[0.67]
T('1587', '4833') Truth=[0.16]
T('4836', '3543') Truth=[0.21]
T('4836', '4875') Truth=[0.67]
T('1587', '4831') Truth=[0.16]
T('4836', '4872') Truth=[0.67]
T('4836', '4873') Truth=[0.67]
T('4836', '4871') Truth=[0.67]
T('1587', '4835') Truth=[0.16]
T('2671', '2444') Truth=[0]
T('1696', '1388') Truth=[0.47]
T('3741', '3377') Truth=[0.34]
T('3259', '4293') Truth=[0.4]
T('1464', '1463') Truth=[0.67]
T('2456', '1921') Truth=[0.33]
T('3243', '3940') Truth=[0.67]
T('1587', '4827') Truth=[0.16]
T('1587', '4828') Truth=[0.16]
T('4836', '4856') Truth=[0.67]
T('1791', '1921') Truth=[0.13]
T('4836', '4866') Truth=[0.67]
T('4836', '4861') Truth=[0.67]
T('4052', '3912') Truth=[0]
T('811', '1759') Truth=[0.54]
T('1464', '1457') Truth=[0.67]
T('1104', '3961') Truth=[0.55]
T('1464', '1458') Truth=[0.67]
T('1797', '4120') Truth=[0.31]
T('3422', '4990') Truth=[0.36]
T('3767', '3118') Truth=[0.21]
T('2323', '2247') Truth=[0.67]
T('1100', '4495') Truth=[0.14]
T('1640', '1192') Truth=[0.17]
T('2371', '45') Truth=[0]
T('4460', '982') Truth=[0.4]
T('625', '2712') Truth=[0.55]
T('4836', '4050') Truth=[0.67]
T('322', '4505') Truth=[0.26]
T('87', '3646') Truth=[0.08]
T('1497', '3717') Truth=[0]
T('4967', '4251') Truth=[0.67]
T('4740', '1192') Truth=[0.67]
T('4231', '2') Truth=[0.51]
T('3718', '3705') Truth=[0.67]
T('1954', '1884') Truth=[0.51]
T('62', '3043') Truth=[0.22]
T('3718', '3707') Truth=[0.67]
T('631', '3936') Truth=[0.28]
T('3768', '3118') Truth=[0.22]
T('3441', '1666') Truth=[0.67]
T('145', '3545') Truth=[0.44]
T('3718', '3703') Truth=[0.67]
T('2241', '178') Truth=[0.52]
T('3718', '3704') Truth=[0.67]
T('3481', '324') Truth=[0]
T('568', '2520') Truth=[0.67]
T('1702', '1319') Truth=[0.44]
T('2966', '4347') Truth=[0]
T('1956', '1853') Truth=[0.67]
T('1702', '1318') Truth=[0.57]
T('86', '3646') Truth=[0]
T('62', '3051') Truth=[0.1]
T('1640', '4205') Truth=[0.44]
T('3545', '2673') Truth=[0]
T('273', '2444') Truth=[0]
T('410', '444') Truth=[0]
T('2665', '3048') Truth=[0.38]
T('1822', '3423') Truth=[0.42]
T('1228', '2135') Truth=[0.67]
T('1110', '4357') Truth=[0.57]
T('2385', '210') Truth=[0.47]
T('4043', '3228') Truth=[0]
T('1603', '1604') Truth=[0.67]
T('1407', '2673') Truth=[0]
T('1956', '1884') Truth=[0.51]
T('2304', '324') Truth=[0]
T('1603', '1607') Truth=[0.67]
T('498', '4234') Truth=[0.41]
T('2392', '2290') Truth=[0.67]
T('3384', '2760') Truth=[0.67]
T('2373', '45') Truth=[0]
T('2446', '2570') Truth=[0.51]
T('322', '1430') Truth=[0.13]
T('3422', '2') Truth=[0.36]
T('69', '2575') Truth=[0.39]
T('3766', '3118') Truth=[0.26]
T('3385', '2760') Truth=[0.67]
T('2744', '2549') Truth=[0.67]
T('116', '425') Truth=[0]
T('3481', '1188') Truth=[0.58]
T('2323', '4869') Truth=[0.67]
T('3647', '4996') Truth=[0.38]
T('1644', '1100') Truth=[0.08]
T('1006', '2959') Truth=[0.42]
T('3073', '4673') Truth=[0.31]
T('3118', '3766') Truth=[0.57]
T('1281', '4066') Truth=[0]
T('3118', '3768') Truth=[0.63]
T('3118', '3767') Truth=[0.63]
T('1492', '3733') Truth=[0.67]
T('4073', '1991') Truth=[0.4]
T('1491', '3741') Truth=[0]
T('1587', '4892') Truth=[0.14]
T('1702', '3942') Truth=[0.41]
T('1587', '4893') Truth=[0.16]
T('454', '1628') Truth=[0.47]
T('89', '3646') Truth=[0]
T('3118', '3772') Truth=[0.44]
T('1694', '3166') Truth=[0.33]
T('1587', '4887') Truth=[0.16]
T('2443', '2591') Truth=[0.56]
T('507', '1917') Truth=[0]
T('1587', '4886') Truth=[0.16]
T('3248', '1325') Truth=[0.3]
T('1643', '1100') Truth=[0.22]
T('3118', '3771') Truth=[0.67]
T('1587', '4880') Truth=[0.16]
T('1587', '4884') Truth=[0.16]
T('4136', '4388') Truth=[0]
T('1587', '4882') Truth=[0.16]
T('4231', '4913') Truth=[0.67]
T('4231', '4911') Truth=[0.67]
T('1587', '977') Truth=[0.05]
T('3647', '2319') Truth=[0.67]
T('3647', '2318') Truth=[0.67]
T('4231', '4916') Truth=[0.67]
T('3404', '2564') Truth=[0.13]
T('3248', '3950') Truth=[0.25]
T('3814', '4739') Truth=[0.45]
T('610', '705') Truth=[0]
T('284', '2308') Truth=[0.47]
T('780', '4390') Truth=[0.54]
T('17', '4941') Truth=[0.05]
T('3176', '4340') Truth=[0.55]
T('559', '1318') Truth=[0.32]
T('559', '1319') Truth=[0.27]
T('2753', '1983') Truth=[0]
T('726', '3741') Truth=[0]
T('4231', '4905') Truth=[0.67]
T('2665', '3019') Truth=[0.55]
T('2692', '2204') Truth=[0.53]
T('1645', '1100') Truth=[0.06]
T('3404', '2572') Truth=[0.13]
T('3111', '4202') Truth=[0.21]
T('1822', '1666') Truth=[0.67]
T('4211', '1236') Truth=[0.58]
T('1954', '1853') Truth=[0.67]
T('1937', '2509') Truth=[0]
T('17', '3600') Truth=[0.57]
T('4073', '1963') Truth=[0]
T('4950', '495') Truth=[0.52]
T('3246', '4495') Truth=[0.11]
T('1209', '1924') Truth=[0]
T('1608', '1610') Truth=[0.67]
T('3771', '498') Truth=[0]
T('3251', '3069') Truth=[0.43]
T('124', '2473') Truth=[0.67]
T('1007', '3436') Truth=[0.59]
T('87', '1863') Truth=[0.09]
T('1428', '2406') Truth=[0.51]
T('637', '405') Truth=[0.41]
T('498', '3766') Truth=[0.48]
T('637', '403') Truth=[0.41]
T('387', '2879') Truth=[0.8]
T('1608', '1604') Truth=[0.67]
T('1608', '1607') Truth=[0.67]
T('498', '3768') Truth=[0.48]
T('498', '3767') Truth=[0.53]
T('1587', '126') Truth=[0.16]
T('4640', '4574') Truth=[0.67]
T('1587', '4050') Truth=[0.16]
T('2599', '3867') Truth=[0.23]
T('2736', '4477') Truth=[0.42]
T('3718', '3787') Truth=[0.43]
T('74', '3741') Truth=[0]
T('2671', '3808') Truth=[0]
T('3835', '628') Truth=[0]
T('498', '3771') Truth=[0.56]
T('802', '4154') Truth=[0.67]
T('187', '402') Truth=[0]
T('3441', '3442') Truth=[0.57]
T('86', '1863') Truth=[0]
T('1368', '2236') Truth=[0]
T('498', '3772') Truth=[0.37]
T('1271', '3754') Truth=[0.67]
T('1702', '1398') Truth=[0.52]
T('1197', '1187') Truth=[0.27]
T('1954', '4988') Truth=[0.39]
T('2711', '1623') Truth=[0.67]
T('709', '2648') Truth=[0.67]
T('2472', '3548') Truth=[0.67]
T('3118', '4234') Truth=[0.44]
T('4940', '4503') Truth=[0.45]
T('1937', '402') Truth=[0]
T('2965', '495') Truth=[0.53]
T('1816', '2282') Truth=[0.52]
T('492', '1198') Truth=[0.43]
T('35', '2075') Truth=[0.59]
T('3645', '223') Truth=[0]
T('1246', '644') Truth=[0.67]
T('2692', '4028') Truth=[0]
T('273', '3742') Truth=[0.67]
T('3609', '2855') Truth=[0.67]
T('2692', '4026') Truth=[0]
T('2692', '4025') Truth=[0]
T('1789', '1235') Truth=[0.24]
T('1028', '2740') Truth=[0.59]
T('38', '758') Truth=[0.67]
T('756', '751') Truth=[0.67]
T('3441', '3423') Truth=[0.42]
T('4489', '1521') Truth=[0.67]
T('3829', '3321') Truth=[0.67]
T('1956', '4988') Truth=[0.39]
T('559', '3942') Truth=[0.25]
T('116', '2572') Truth=[0.48]
T('185', '402') Truth=[0.37]
T('1822', '3442') Truth=[0.57]
T('2443', '416') Truth=[0.29]
T('478', '4405') Truth=[0.42]
T('68', '2575') Truth=[0.27]
T('2147', '425') Truth=[0]
T('468', '3236') Truth=[0.67]
T('1791', '2445') Truth=[0.67]
T('3404', '425') Truth=[0]
T('3248', '1391') Truth=[0.39]
T('733', '1819') Truth=[0.56]
T('707', '2617') Truth=[0.67]
T('733', '1818') Truth=[0.56]
T('3248', '1395') Truth=[0.31]
T('3273', '3636') Truth=[0.61]
T('4448', '1196') Truth=[0.47]
T('89', '1863') Truth=[0]
T('3488', '1192') Truth=[0.25]
T('4448', '1193') Truth=[0.67]
T('4941', '1430') Truth=[0]
T('2727', '3250') Truth=[0.67]
T('62', '418') Truth=[0.13]
T('2443', '3048') Truth=[0.34]
T('3121', '210') Truth=[0.4]
T('4211', '3038') Truth=[0.45]
T('2664', '492') Truth=[0.12]
T('1603', '1610') Truth=[0.67]
T('2282', '4495') Truth=[0.24]
T('189', '402') Truth=[0]
T('3719', '3704') Truth=[0.67]
T('4210', '3038') Truth=[0.45]
T('3719', '3705') Truth=[0.67]
T('3719', '3707') Truth=[0.67]
T('3718', '3716') Truth=[0.67]
T('4836', '126') Truth=[0.67]
T('4249', '1713') Truth=[0.58]
T('3111', '336') Truth=[0.12]
T('3719', '3703') Truth=[0.67]
T('1800', '232') Truth=[0]
T('69', '1215') Truth=[0.15]
T('4231', '4990') Truth=[0.52]
T('2538', '4169') Truth=[0]
T('1826', '3418') Truth=[0.67]
T('3718', '3710') Truth=[0.67]
T('69', '3875') Truth=[0]
T('3927', '4350') Truth=[0.34]
T('68', '3875') Truth=[0]
T('3719', '3716') Truth=[0.67]
T('68', '1215') Truth=[0.1]
T('2378', '368') Truth=[0.67]
T('2443', '3019') Truth=[0.49]
T('1791', '2456') Truth=[0.39]
T('3719', '3710') Truth=[0.67]
T('4149', '4245') Truth=[0.25]
T('1188', '402') Truth=[0]
T('3177', '3096') Truth=[0.67]
T('602', '2973') Truth=[0]
T('2932', '2986') Truth=[0.13]
T('4046', '623') Truth=[0.33]
T('3769', '3118') Truth=[0]
T('3570', '3605') Truth=[0]
T('62', '3971') Truth=[0.67]
T('89', '200') Truth=[0]
T('4223', '4075') Truth=[0]
T('255', '2712') Truth=[0.48]
T('2366', '3787') Truth=[0.43]
T('4149', '1884') Truth=[0.23]
T('1789', '2393') Truth=[0.67]
T('223', '2250') Truth=[0]
T('145', '147') Truth=[0.67]
T('2533', '2220') Truth=[0]
T('74', '70') Truth=[0.67]
T('1696', '3867') Truth=[0.47]
T('1188', '1937') Truth=[0]
T('2241', '855') Truth=[0.24]
T('2800', '4388') Truth=[0]
T('2800', '4389') Truth=[0.56]
T('4223', '4078') Truth=[0]
T('4332', '2712') Truth=[0.55]
T('1789', '1055') Truth=[0.25]
T('2533', '2234') Truth=[0.34]
T('4253', '4547') Truth=[0.67]
T('507', '2486') Truth=[0]
T('74', '87') Truth=[0]
T('74', '89') Truth=[0]
T('87', '230') Truth=[0.22]
T('1868', '1864') Truth=[0.52]
T('1868', '1865') Truth=[0.73]
T('2229', '1055') Truth=[0.25]
T('1570', '3553') Truth=[0.57]
T('1868', '1869') Truth=[0.57]
T('116', '2633') Truth=[0]
T('2371', '2373') Truth=[0]
T('115', '2646') Truth=[0.67]
T('3111', '4916') Truth=[0.3]
T('3311', '3048') Truth=[0.31]
T('4024', '2882') Truth=[0]
T('2637', '4546') Truth=[0.51]
T('87', '200') Truth=[0.34]
T('3111', '4911') Truth=[0.3]
T('4483', '4478') Truth=[0.67]
T('3111', '4913') Truth=[0.3]
T('1990', '1245') Truth=[0.41]
T('2011', '3519') Truth=[0]
T('2784', '2782') Truth=[0.56]
T('2671', '3612') Truth=[0.53]
T('3248', '4287') Truth=[0.22]
T('74', '69') Truth=[0]
T('1443', '718') Truth=[0.4]
T('2869', '4479') Truth=[0.67]
T('4149', '1853') Truth=[0.24]
T('2239', '3534') Truth=[0.67]
T('86', '230') Truth=[0]
T('1547', '402') Truth=[0.5]
T('1984', '2673') Truth=[0]
T('2484', '3217') Truth=[0.42]
T('1916', '3928') Truth=[0.57]
T('3467', '2501') Truth=[0]
T('3511', '2897') Truth=[0.58]
T('2239', '3531') Truth=[0.67]
T('2176', '2040') Truth=[0.67]
T('3718', '963') Truth=[0.67]
T('625', '664') Truth=[0.18]
T('2176', '2043') Truth=[0.67]
T('638', '1303') Truth=[0]
T('1583', '1639') Truth=[0.67]
T('3719', '951') Truth=[0.67]
T('625', '661') Truth=[0.21]
T('4836', '2986') Truth=[0.31]
T('625', '660') Truth=[0.18]
T('2755', '971') Truth=[0.31]
T('2403', '3309') Truth=[0.67]
T('2304', '189') Truth=[0]
T('2304', '187') Truth=[0]
T('733', '261') Truth=[0.37]
T('2732', '368') Truth=[0.67]
T('3719', '958') Truth=[0.67]
T('38', '2135') Truth=[0.47]
T('3512', '1523') Truth=[0.59]
T('4448', '1809') Truth=[0.59]
T('2633', '623') Truth=[0]
T('2776', '2899') Truth=[0.22]
T('2932', '3200') Truth=[0.25]
T('2777', '1551') Truth=[0.31]
T('2776', '2898') Truth=[0.5]
T('1865', '1864') Truth=[0.45]
T('3741', '4520') Truth=[0.18]
T('3111', '4905') Truth=[0.3]
T('1865', '1868') Truth=[0.56]
T('4497', '2541') Truth=[0.5]
T('326', '3252') Truth=[0.54]
T('3574', '4755') Truth=[0.67]
T('1019', '2673') Truth=[0]
T('2304', '185') Truth=[0]
T('3719', '963') Truth=[0.67]
T('1678', '2782') Truth=[0.67]
T('559', '4497') Truth=[0.37]
T('69', '3928') Truth=[0.12]
T('1491', '4028') Truth=[0]
T('2755', '968') Truth=[0.31]
T('3404', '280') Truth=[0]
T('2177', '2045') Truth=[0.67]
T('116', '2671') Truth=[0]
T('4548', '1521') Truth=[0.45]
T('1985', '1307') Truth=[0.67]
T('2755', '3573') Truth=[0.31]
T('3935', '4062') Truth=[0.54]
T('3719', '932') Truth=[0.67]
T('3718', '948') Truth=[0.67]
T('4176', '3288') Truth=[0.67]
T('68', '3928') Truth=[0.09]
T('3719', '934') Truth=[0.67]
T('3718', '945') Truth=[0.67]
T('2807', '3868') Truth=[0.5]
T('3718', '944') Truth=[0.67]
T('1985', '1303') Truth=[0]
T('3719', '930') Truth=[0.67]
T('735', '4120') Truth=[0.39]
T('4236', '2124') Truth=[0.58]
T('802', '2460') Truth=[0.23]
T('3511', '1519') Truth=[0.67]
T('2762', '2124') Truth=[0.45]
T('3719', '936') Truth=[0.67]
T('3719', '939') Truth=[0.67]
T('3833', '4350') Truth=[0.54]
T('3511', '1517') Truth=[0.67]
T('3848', '3764') Truth=[0.59]
T('2942', '1325') Truth=[0.58]
T('3978', '3977') Truth=[0.67]
T('2147', '280') Truth=[0]
T('3741', '2788') Truth=[0.4]
T('3802', '2934') Truth=[0.67]
T('2726', '495') Truth=[0.67]
T('3718', '951') Truth=[0.67]
T('89', '230') Truth=[0]
T('3564', '3565') Truth=[0.45]
T('2638', '1477') Truth=[0.67]
T('2484', '1470') Truth=[0.52]
T('1583', '1648') Truth=[0.67]
T('3311', '3019') Truth=[0.47]
T('3905', '3977') Truth=[0.67]
T('3719', '944') Truth=[0.67]
T('2406', '1551') Truth=[0.44]
T('3481', '187') Truth=[0]
T('3481', '185') Truth=[0]
T('3719', '945') Truth=[0.67]
T('4660', '4990') Truth=[0]
T('3718', '958') Truth=[0.67]
T('3481', '189') Truth=[0]
T('3719', '948') Truth=[0.67]
T('2633', '631') Truth=[0]
T('116', '2654') Truth=[0]
T('74', '3805') Truth=[0]
T('1721', '3570') Truth=[0]
T('1338', '1953') Truth=[0.53]
T('1866', '1864') Truth=[0.32]
T('2176', '2039') Truth=[0.67]
T('2682', '1713') Truth=[0.67]
T('1866', '1868') Truth=[0.4]
T('662', '4928') Truth=[0.43]
T('1866', '1869') Truth=[0.63]
T('556', '4474') Truth=[0.31]
T('510', '2314') Truth=[0.47]
T('4865', '1313') Truth=[0.67]
T('3772', '3771') Truth=[0.64]
T('2443', '2421') Truth=[0.26]
T('4922', '2844') Truth=[0]
T('99', '3548') Truth=[0.58]
T('553', '552') Truth=[0.67]
T('3064', '2011') Truth=[0.47]
T('4149', '4988') Truth=[0.16]
T('1481', '2408') Truth=[0.33]
T('1640', '3633') Truth=[0.21]
T('4046', '2633') Truth=[0.52]
T('1603', '679') Truth=[0.67]
T('4267', '1399') Truth=[0]
T('2711', '4578') Truth=[0.36]
T('102', '1422') Truth=[0.6]
T('3771', '3768') Truth=[0]
T('3881', '4667') Truth=[0.67]
T('3771', '3766') Truth=[0]
T('3771', '3767') Truth=[0]
T('1945', '1854') Truth=[0.67]
T('1587', '3422') Truth=[0.47]
T('3111', '4990') Truth=[0.23]
T('4836', '4791') Truth=[0.67]
T('620', '3246') Truth=[0.57]
T('846', '614') Truth=[0.58]
T('2711', '4550') Truth=[0.46]
T('1215', '2114') Truth=[0.53]
T('3772', '3768') Truth=[0.34]
T('3404', '3742') Truth=[0.67]
T('3772', '3766') Truth=[0.58]
T('2147', '3742') Truth=[0]
T('1694', '418') Truth=[0.42]
T('3771', '3772') Truth=[0]
T('4836', '4789') Truth=[0.67]
T('4267', '4405') Truth=[0.29]
T('4836', '4787') Truth=[0.67]
T('2', '3543') Truth=[0.5]
T('4836', '4781') Truth=[0.67]
T('4024', '726') Truth=[0]
T('1789', '1901') Truth=[0.19]
T('1497', '4054') Truth=[0.55]
T('620', '4506') Truth=[0.15]
T('620', '4504') Truth=[0.07]
T('1287', '3424') Truth=[0.47]
T('4865', '3930') Truth=[0.67]
T('1995', '2536') Truth=[0.67]
T('1457', '1458') Truth=[0.67]
T('4836', '4769') Truth=[0.67]
T('1066', '1634') Truth=[0.67]
T('116', '3936') Truth=[0]
T('1907', '1447') Truth=[0.59]
T('1497', '114') Truth=[0.55]
T('4836', '4773') Truth=[0.67]
T('4836', '4774') Truth=[0.67]
T('1497', '118') Truth=[0.55]
T('3437', '2075') Truth=[0.4]
T('3581', '2039') Truth=[0.64]
T('3450', '3166') Truth=[0.19]
T('2557', '1532') Truth=[0]
T('4046', '3936') Truth=[0.24]
T('68', '495') Truth=[0.09]
T('3111', '2') Truth=[0.23]
T('1990', '1254') Truth=[0.35]
T('2533', '971') Truth=[0.34]
T('1019', '4457') Truth=[0.41]
T('2533', '970') Truth=[0]
T('326', '614') Truth=[0.45]
T('86', '200') Truth=[0]
T('1990', '1256') Truth=[0.35]
T('4836', '4766') Truth=[0.67]
T('2533', '968') Truth=[0.67]
T('4836', '4767') Truth=[0.67]
T('1041', '1037') Truth=[0.59]
T('1587', '2986') Truth=[0.09]
T('630', '1331') Truth=[0]
T('1994', '2536') Truth=[0.67]
T('630', '1330') Truth=[0]
T('1393', '4352') Truth=[0.29]
T('69', '495') Truth=[0.13]
T('565', '4309') Truth=[0]
T('1353', '1799') Truth=[0.51]
T('1997', '2536') Truth=[0.67]
T('2664', '2442') Truth=[0.14]
